Font supports language ,ssy_Latn,  Saho),
Font supports language ,st_Latn,  Southern Sotho),
Font supports language ,su_Latn,  Sundanese),
Font supports language ,suk_Latn,  Sukuma),
Font supports language ,suq_Latn,  Suri, Tirmaga-Chai)
Font supports language ,sur_Latn,  Mwaghavul),
Font supports language ,sus_Latn,  Susu),
Font supports language ,sv_Latn,  Swedish),
Font supports language ,sw_Latn,  Swahili),
Font supports language ,swb_Latn,  Maore Comorian, Latin)
Font supports language ,swc_Latn,  Swahili, Congo)
Font supports language ,sxb_Latn,  Suba),
Font supports language ,sxw_Latn,  Saxwe Gbe),
Font supports language ,szl_Latn,  Silesian),
Font supports language ,ta_Taml,  Tamil),
Font supports language ,taj_Deva,  Eastern Tamang),
Font supports language ,tal_Latn,  Tal),
Font supports language ,tan_Latn,  Tangale),
Font supports language ,taq_Latn,  Tamasheq  Latin)),
Font supports language ,ted_Latn,  Krumen, Tepo)
Font supports language ,tem_Latn,  Timne),
Font supports language ,teo_Latn,  Teso),
Font supports language ,tet_Latn,  Tetum),
Font supports language ,tfi_Latn,  Gbe, Tofin)
Font supports language ,tiv_Latn,  Tiv),
Font supports language ,tk_Latn,  Turkmen  Latin)),
Font supports language ,tke_Latn,  Takwane),
Font supports language ,tkl_Latn,  Tokelau),
Font supports language ,tkr_Latn,  Tsakhur  Latin)),
Font supports language ,tlj_Latn,  Talinga-Bwisi),
Font supports language ,tly_Latn,  Talysh  Latin)),
Font supports language ,tmh_Latn,  Tamashek),
Font supports language ,tn_Latn,  Tswana),
Font supports language ,tnr_Latn,  Ménik),
Font supports language ,to_Latn,  Tongan),
Font supports language ,tod_Latn,  Toma),
Font supports language ,tog_Latn,  Nyasa Tonga),
Font supports language ,toi_Latn,  Tonga),
Font supports language ,toq_Latn,  Toposa),
Font supports language ,tpi_Latn,  Tok Pisin),
Font supports language ,tpm_Latn,  Tampulma),
Font supports language ,tr_Latn,  Turkish),
Font supports language ,ts_Latn,  Tsonga),
Font supports language ,tsb_Latn,  Tsamai),
Font supports language ,tsw_Latn,  Tsishingini),
Font supports language ,ttj_Latn,  Tooro),
Font supports language ,ttq_Latn,  Tawallammat Tamajaq),
Font supports language ,ttr_Latn,  Tera),
Font supports language ,ttt_Latn,  Muslim Tat, Latin)
Font supports language ,tul_Latn,  Tula),
Font supports language ,tum_Latn,  Tumbuka),
Font supports language ,tuq_Latn,  Tedaga),
Font supports language ,tvd_Latn,  Tsuvadi),
Font supports language ,tvl_Latn,  Tuvalu),
Font supports language ,tw_akuapem_Latn,  Akuapem Twi),
Font supports language ,twq_Latn,  Tasawaq),
Font supports language ,ty_Latn,  Tahitian),
Font supports language ,tzm_Latn,  Central Atlas Tamazight),
Font supports language ,udu_Latn,  Uduk),
Font supports language ,ug_Latn,  Uyghur  Latin)),
Font supports language ,umb_Latn,  Umbundu),
Font supports language ,uth_Latn,  ut-Hun),
